method,ratio,lcc,srcc,rmse,lcc_std,srcc_std,rmse_std,t,p
baseline,1,0.6679377754166167,0.6555401697423809,0.8299831231770131,,,,,
sgtc,2,0.5911068891606701,0.5826850566698231,1.027288092696322,,,,,
sgtc_w,2,0.6505148050217539,0.6413489048498658,0.9550614368842759,,,,,
tome,2,0.5719195202168701,0.566197835222341,1.152470841360417,,,,,
random_lcc,2,0.5483678950932006,,,0.011461176437249108,,,,
random_srcc,2,,0.5414164925479961,,,0.008061265741975342,,,
random_rmse,2,,,1.0737960870999481,,,0.014047929711609956,,
sgtc,3,0.5154450576125693,0.508322021724252,1.2110610050979058,,,,,
sgtc_w,3,0.627056390688964,0.6211473204962243,1.042327784819356,,,,,
tome,3,0.48784030810713,0.49713035320065724,1.501703753211474,,,,,
random_lcc,3,0.46960805173002623,,,0.010461725535974749,,,,
random_srcc,3,,0.4626633897459464,,,0.0038879819291339638,,,
random_rmse,3,,,1.2689884774967715,,,0.011076394749334558,,
sgtc,4,0.4753916469946508,0.4794942459246545,1.3644202049154956,,,,,
sgtc_w,4,0.5898655100947072,0.5871016279679748,1.147564360254865,,,,,
tome,4,0.4389951940835707,0.4443370321081496,1.7315849437017903,,,,,
random_lcc,4,0.41609523337333804,,,0.015041171289717718,,,,
random_srcc,4,,0.41250248315392263,,,0.005185126235242401,,,
random_rmse,4,,,1.454097161993084,,,0.022602301109883868,,
prune,2,0.739937210948752,0.756687057496244,0.6747496453138245,,,,,
prune_vs_sgtc_t,2,,,,,,,10.589960398136741,1.694631622524326e-24
prune,3,0.7667840461515504,0.7711224019685332,0.6573989794288955,,,,,
prune_vs_sgtc_t,3,,,,,,,13.941572289676706,2.1385188865716492e-39
prune,4,0.7531081740013464,0.7667668948361073,0.685403763166984,,,,,
prune_vs_sgtc_t,4,,,,,,,15.056096897832104,6.92366860000384e-45
merge,2,0.8001441171035437,0.8143056577491419,0.6007811952411153,,,,,
merge_vs_sgtc_t,2,,,,,,,13.427367952080925,6.0484063836981785e-37
merge,3,0.8196513781185687,0.8261737985832822,0.565977281220783,,,,,
merge_vs_sgtc_t,3,,,,,,,17.042768862345856,3.431760309227925e-55
merge,4,0.8156344840085565,0.8185134037671618,0.5737137478670377,,,,,
merge_vs_sgtc_t,4,,,,,,,18.185903144015217,2.2676099320000443e-61
